DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20190127,1/27/2019,SUN,12032,Foothills,1300-1830,4.0,1.5
20190126,1/26/2019,SAT,12032,Foothills,0600-1230,6.0,0.0
20190124,1/24/2019,THU,12336,BingConcert-Attractor,1830-2145,3.25,0.0
20190122,1/22/2019,TUE,12296,SerraSculpture,1530-0000,8.0,0.0
20190120,1/20/2019,SUN,12175,WonenBBvsWashingtonState,1430-1830,4.0,0.0
20190120,1/20/2019,SUN,12032,Foothills,1500-1830,3.5,0.0
20190119,1/19/2019,SAT,12327,WomenMarch,0900-1200,3.0,0.0
20190119,1/19/2019,SAT,12032,Foothills,0600-0830,2.5,0.0
20190113,1/13/2019,SUN,12032,Foothills,1300-1830,5.5,0.0
20190112,1/12/2019,SAT,12032,Foothills,0600-1230,6.0,0.0
20190109,1/9/2019,WED,12326,SecondActScreening,1800-2330,5.5,0.0
20190106,1/6/2019,SUN,12171,WomenBBvsUCLA,1130-1600,4.5,0.0
20190106,1/6/2019,SUN,12032,Foothills,1630-1830,2.0,0.0
20190104,1/4/2019,FRI,12032,Foothills,1300-1830,5.5,0.0
20190101,1/1/2019,TUE,12032,Foothills,1300-1830,5.5,0.0
20181231,12/31/2018,MON,12210,WBSecurity,0630-1500,8.0,0.0
